Mean Error (SUV),Mean Absolure Error (SUV),Relative Error (SUV%),Absolure Relative Error (SUV%),Root Mean Squared Error,Peak Signal-to-Noise Ratio,Structual Similarity Index,Center,Dataset,Mode
-0.3452557280437059,0.9869154858559932,-4.024622825934589,30.942896442386385,2.4832168573926623,36.857095303091526,0.9441143350838228,C2,Multi-Center,Internal
0.4697239865537157,0.9437248147227836,16.398120394283332,32.340825474377446,2.721721325371772,35.71672352954336,0.9450080200273958,C2,Multi-Center,Internal
-0.2674774272445508,1.0744210906700502,5.178802828692971,29.08678353650693,3.015070204129228,41.07856843535156,0.9745257077143914,C3,Multi-Center,Internal
-1.1910467561811826,1.5142801760010207,-12.18175390638299,33.4049416561125,3.027063892933896,36.38725800691914,0.9355879076836432,C3,Multi-Center,Internal
-0.571929280222022,1.4565999868643928,16.096421753302316,51.82847581148532,3.501498462380816,34.57794939208783,0.9085507869546844,C4,Multi-Center,Internal
-1.6510359789546527,1.88817761050526,-29.688407293412205,38.06657674471886,3.6430701261837615,35.4428735186958,0.8988007787324649,C4,Multi-Center,Internal
-2.8029822558851394,4.417342194370151,34.93479494129688,82.98591412449429,14.347299687978255,24.68406119573516,0.816742360315431,C5,Multi-Center,External
-2.61883826259063,2.8076072389118965,-37.98820204567805,49.91315344367728,4.900434785352799,32.7362690962123,0.870126709811121,C5,Multi-Center,External
-2.0589265409436432,2.4864845848901043,-19.46033420699333,50.00677044039004,5.378506995482689,30.0203259237156,0.8844963313753432,C5,Multi-Center,External
-1.3804961383168628,1.7319208581558423,-23.35991824619601,39.67654184155617,3.80875704623365,33.803310390531635,0.9214232066689544,C5,Multi-Center,External
-1.522223770412285,1.7898230202118135,-27.700248978448062,41.71946740401663,3.387557456278915,35.105310562443826,0.9218497286878402,C5,Multi-Center,External
-1.9142766090558891,2.177386542876722,-32.64415987217725,46.54099807258531,3.850960355777846,34.504936601746515,0.8995953952439322,C5,Multi-Center,External
-2.5051036116480816,2.707857556805558,-35.89412431761091,50.0664122597875,5.467774099378556,32.8616988721544,0.8666346285191655,C5,Multi-Center,External
-1.4837188627091455,1.85889431495399,-18.851572169559613,39.79640844342531,4.070693125723661,33.7172776225449,0.9147099526686469,C5,Multi-Center,External
-1.57910135796933,1.921940169312726,-22.349632755508274,40.24100111309915,4.075301216899226,34.33927263538724,0.9150051184892029,C5,Multi-Center,External
-2.1175220181913006,2.58854386999932,-19.593642881256137,45.45636864548664,7.256266518006886,29.325162736207737,0.8989801476744433,C5,Multi-Center,External
-0.8593295086365987,1.623257134108491,-4.089211904999517,49.27399282563712,2.9574690689081,34.8118539503028,0.9113538599693224,C5,Multi-Center,External
-2.242819236182748,2.485387858809451,-31.47861768641412,45.76965505380687,5.409193346430935,31.093534622059785,0.8918863524895314,C5,Multi-Center,External
